,id,type,name,age,gender,city,breed,city,zip,large_photo,state,species,status,url
350,59310432,Dog,Baylee,Baby,Female,Hughesville,Bloodhound,Hughesville,20637,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310432/1/?bust=1672512602&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/baylee-59310432/md/hughesville/furever-safe-md469/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
351,59310427,Dog,Jinx,Adult,Female,Clearfield,Labrador Retriever,Clearfield,16830,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310427/1/?bust=1672512573&width=600,PA,Dog,adoptable,https://www.petfinder.com/dog/jinx-59310427/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
352,59310425,Dog,Roxy,Adult,Female,Bethesda,Staffordshire Bull Terrier,Bethesda,20817,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310425/5/?bust=1672512547&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/roxy-59310425/md/bethesda/saint-mutts-rescue-tx2601/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
353,59310423,Dog,Freya,Baby,Female,Hughesville,Bloodhound,Hughesville,20637,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310423/1/?bust=1672512503&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/freya-59310423/md/hughesville/furever-safe-md469/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
354,59310422,Dog,Dolce,Baby,Female,Painesville,Labrador Retriever,Painesville,44077,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310422/6/?bust=1673314630&width=600,OH,Dog,adoptable,https://www.petfinder.com/dog/dolce-59310422/oh/painesville/one-at-a-time-k-9-rescue-oh1145/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
355,59310411,Dog,Winnie,Baby,Female,Hughesville,Bloodhound,Hughesville,20637,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310411/1/?bust=1672512256&width=600,MD,Dog,adoptable,https://www.petfinder.com/dog/winnie-59310411/md/hughesville/furever-safe-md469/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
356,59310417,Dog,Jimmy ,Young,Male,Los Angeles,Shiba Inu,Los Angeles,90014,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310417/1/?bust=1672512309&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/jimmy-59310417/ca/los-angeles/kosmas-garden-of-angeles-inc-ca2770/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
357,59310414,Cat,Scarf ,Young,Female,Waterloo,Domestic Short Hair,Waterloo,50703,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310414/3/?bust=1672512282&width=600,IA,Cat,adoptable,https://www.petfinder.com/cat/scarf-59310414/ia/waterloo/cedar-bend-humane-society-ia36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
358,59310412,Dog,Rover,Adult,Male,Clearfield,Australian Shepherd,Clearfield,16830,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310412/1/?bust=1672512259&width=600,PA,Dog,adoptable,https://www.petfinder.com/dog/rover-59310412/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
359,59310410,Dog,Gizmo,Adult,Male,Los Angeles,Shih Tzu,Los Angeles,90035,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310410/5/?bust=1672512254&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/gizmo-59310410/ca/los-angeles/puppy-pawz-rescue-ca3095/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
